0,500,0.02876
0,500,0.02912
0,500,0.02928
0,500,0.03102
0,500,0.03057
0,1000,0.06879
0,1000,0.06837
0,1000,0.07692
0,1000,0.06833
0,1000,0.06841
0,10000,0.9797
0,10000,0.97358
0,10000,0.97275
0,10000,0.97196
0,10000,0.98111
0,100000,12.72953
0,100000,13.27117
0,100000,12.88714
0,100000,12.72556
0,100000,12.61534
1,500,0.66229
1,500,0.54726
1,500,0.56823
1,500,0.5422
1,500,0.55708
1,1000,0.63425
1,1000,0.78033
1,1000,0.63116
1,1000,0.72915
1,1000,0.65482
1,10000,2.91448
1,10000,2.91626
1,10000,2.80088
1,10000,2.80768
1,10000,2.73371
1,100000,29.91037
1,100000,29.77689
1,100000,31.29248
1,100000,30.54603
1,100000,30.99934
2,500,0.6275
2,500,0.62923
2,500,0.63255
2,500,0.80881
2,500,0.5956
2,1000,0.67381
2,1000,0.78306
2,1000,0.67199
2,1000,0.82804
2,1000,0.63117
2,10000,2.98267
2,10000,2.88462
2,10000,2.70369
2,10000,2.87316
2,10000,2.76306
2,100000,29.47997
2,100000,29.75592
2,100000,29.49777
2,100000,28.91718
2,100000,29.56118
4,500,0.65327
4,500,0.57398
4,500,0.56383
4,500,0.54025
4,500,0.54097
4,1000,0.65634
4,1000,0.65756
4,1000,0.77537
4,1000,0.61999
4,1000,0.63529
4,10000,2.68869
4,10000,2.76291
4,10000,2.76615
4,10000,2.81369
4,10000,2.96421
4,100000,30.41931
4,100000,29.38808
4,100000,32.10749
4,100000,29.08281
4,100000,30.22667
8,500,0.79521
8,500,0.62438
8,500,0.53649
8,500,0.56911
8,500,0.55061
8,1000,0.67005
8,1000,0.62487
8,1000,0.60644
8,1000,0.61685
8,1000,0.6099
8,10000,2.74541
8,10000,2.77451
8,10000,2.77128
8,10000,2.95418
8,10000,2.79202
8,100000,31.84542
8,100000,30.05088
8,100000,30.64461
8,100000,32.15243
8,100000,31.59872
